day,count, ratio,seratio,length,selength
0,0,,,,,
7,0,,,,,
14,0,,,,,
21,0,,,,,
28,0,,,,,
35,0,,,,,
42,0,,,,,
49,0,,,,,
56,0,0,0,,,
63,0,0,0,,,
70,0,0,0,,,
77,0,0,0,,,
84,0,0,0,,,
91,0,0,0,,,
98,0,0,0,,,
105,0,0,0,,,
112,0,0,0,,,
119,0,0,0,,,
126,0,0,0,,,
133,0,0,0,,,
140,0,0,0,,,
147,0,0,0,,,
154,0,0,0,,,
161,0,0,0,,,
168,0,0,0,,,
175,0,0,0,,,
182,0,0,0,,,
189,0,0,0,,,
196,0,0,0,,,
203,0,0,0,,,
210,0,0,0,,,
217,0,0,0,,,
224,0,0,0,,,
231,0,0,0,,,
238,0,0,0,,,
245,0,0,0,,,
252,0,0,0,,,
259,2,0.00141844,0.00100228,156.5,11.6673
266,4,0.00277971,0.00138792,168.25,2.43349
273,5,0.00219106,0.000978798,146.8,6.50169
280,12,0.00297767,0.000858298,149.667,5.4203
287,27,0.0041867,0.000804042,145.333,5.23809
294,29,0.00325733,0.000603885,148.931,4.84699
301,38,0.00475952,0.000770256,139.079,5.51558
308,37,0.00551416,0.000904019,131.486,5.28399
315,15,0.00374345,0.000964744,134.533,8.13818
322,19,0.005613,0.00128409,118.526,7.25147
329,16,0.00611387,0.00152379,119.875,10.3708
336,25,0.00887154,0.00176642,107.12,9.17585
343,28,0.00759013,0.00142895,106.75,6.49345
350,58,0.0109207,0.00142611,98.6379,6.44923
357,68,0.0122699,0.00147879,112.132,5.50298
364,104,0.0139616,0.00135946,99.8365,4.44601
371,135,0.0170843,0.00145777,95.963,3.76839
378,70,0.0132125,0.00156873,85.4286,5.25895
385,81,0.0168259,0.00185375,76.6049,4.95948
392,84,0.0173446,0.00187597,75.4881,5.34821
399,113,0.0208603,0.00194179,79.4956,4.40603
406,101,0.0175226,0.00172822,78.5248,4.22058
413,148,0.019736,0.0016062,76.8108,3.62605
420,186,0.0214459,0.00155553,77.4839,3.32716
427,155,0.0182956,0.00145603,80.2258,3.6919
434,174,0.0227958,0.00170833,69.8678,3.43781
441,135,0.0221675,0.00188661,69.037,3.81697
448,117,0.0252101,0.00230111,68.5385,4.44389
455,73,0.025277,0.00292082,66.1644,4.98521
462,67,0.0220467,0.00266358,73.2836,5.78661
469,45,0.0234253,0.00345089,69.5556,7.08255
476,42,0.0253012,0.00385436,72.6667,8.21464
483,43,0.0321375,0.00482153,74.1395,7.87618
490,28,0.0302703,0.0056333,72.6429,9.92719
497,15,0.0221566,0.00565707,66.6667,11.2817
504,7,0.0164319,0.00615945,24.5714,6.15732
511,5,0.0168919,0.00749021,85,23.3324
518,3,0.0146341,0.00838698,83.3333,23.8436
525,0,0,0,,,
532,2,0.0217391,0.0152039,17,11.3137
539,3,0.038961,0.0220516,22.3333,6.60527
546,3,0.0319149,0.0181297,59,15.5421
553,4,0.0228571,0.0112972,65.5,22.8377
560,0,0,0,,,
567,2,0.0153846,0.0107946,77.5,30.7591
574,0,0,0,,,
581,3,0.023622,0.0134762,70.3333,11.0989
588,1,0.0070922,0.007067,41,0
595,1,0.00763359,0.0076044,31,0
602,1,0.00724638,0.00722007,102,0
609,4,0.0173913,0.00861971,97.75,17.3615
616,5,0.0180505,0.00799926,42.6,12.3373
623,0,0,0,,,
630,6,0.0183486,0.00742175,62,21.4994
637,13,0.0222222,0.00609447,79.1538,16.1006
644,8,0.0120301,0.00422761,95.375,16.1748
651,17,0.0131681,0.00317263,48.2353,8.11446
658,32,0.0119403,0.00209813,66.4062,6.64852
665,68,0.0161214,0.00193918,71.7353,5.43921
672,90,0.0142744,0.00149387,77.3222,5.30862
679,110,0.0122263,0.00115858,67.2182,4.79722
686,170,0.0145225,0.00110571,65.6882,3.26058
693,181,0.0138634,0.00102329,67.0608,3.55883
700,141,0.0122983,0.00102932,71.6879,3.8965
707,112,0.012781,0.00119995,73.4643,4.40556
714,100,0.0158705,0.00157441,61.74,4.69916
721,65,0.0167267,0.00205727,56.3538,4.82545
728,64,0.0151695,0.00188175,60.9531,5.92505
735,68,0.013135,0.00158236,59.3824,6.00015
742,84,0.00735165,0.000799177,59.0476,4.91085
749,139,0.0068241,0.000576834,55.5612,3.96897
756,222,0.00702754,0.000469997,53.1622,2.96782
763,205,0.00831238,0.000578144,59.3317,3.37325
770,132,0.0081111,0.000703111,55.9848,4.33716
777,105,0.0102871,0.000998737,47.1619,3.94578
784,86,0.0119031,0.00127588,50.8023,4.84394
791,63,0.0100398,0.00125854,53.4286,5.6741
798,91,0.0140475,0.0014622,48.1538,4.68392
805,74,0.01184,0.0013682,44.0405,4.98802
812,81,0.0142807,0.00157537,54.3457,5.70699
819,65,0.0141859,0.00174702,56,6.15719
826,53,0.0161094,0.0021949,47.6604,5.31024
833,31,0.0180442,0.00321147,43.5484,6.26319
840,27,0.017132,0.00326869,47.4815,8.70242
847,18,0.0161146,0.00376752,61.7222,9.92186
854,10,0.015873,0.00497949,51.2,18.1597
861,5,0.0145349,0.00645278,54.2,22.0498
868,7,0.0315315,0.0117284,45.4286,12.4996
875,8,0.042328,0.0146451,49.375,11.0354
882,2,0.0112994,0.00794464,26.5,13.0815
889,2,0.0078125,0.00550265,164,0
896,2,0.00668896,0.00471397,27.5,3.18198
903,9,0.0144928,0.00479578,66.5556,10.7314
910,15,0.0202429,0.00517353,38,11.4399
917,18,0.0164835,0.00385305,76.3889,12.8
924,22,0.0130641,0.00276703,60.4091,9.99745
931,29,0.0125433,0.00231457,58.4828,8.43167
938,26,0.0115197,0.00224615,60.7692,9.19646
945,28,0.0151515,0.00284159,32.9643,6.1895
952,20,0.0114745,0.00255101,48.75,7.5617
959,19,0.0112028,0.00255567,29.9474,6.42729
966,29,0.0179789,0.00330845,36.7586,5.78235
973,28,0.0172202,0.00322617,29.2857,4.8342
980,26,0.012987,0.00253037,49.2692,5.80567
987,24,0.0104167,0.00211519,34.5417,4.65287
994,43,0.0164814,0.00249259,33.2326,3.67513
1001,43,0.0163934,0.0024794,25.9302,3.12311
1008,38,0.0159129,0.00256079,30.8158,3.49631
1015,21,0.0120206,0.0026073,25.9524,3.56124
1022,17,0.0141667,0.0034115,25.8235,3.07151
1029,11,0.0155807,0.00466103,22.5455,5.52135
1036,8,0.0130719,0.00459131,17.875,2.52139
1043,5,0.010661,0.00474225,23.4,4.72102
1050,5,0.0121065,0.00538133,14.2,4.86128
1057,7,0.0131579,0.00494039,11.1429,1.77774
1064,6,0.0106383,0.0043199,11.6667,3.9417
1071,1,0.00167785,0.00167644,2,0
1078,4,0.00728597,0.00362969,11.25,1.67239
1085,2,0.00630915,0.00444715,7,0.707107
1092,0,0,0,,,
1099,0,0,0,,,
1106,0,0,0,,,
1113,0,0,0,,,
1120,0,0,0,,,
1127,0,0,0,,,
1134,0,0,0,,,
1141,0,0,0,,,
1148,0,0,0,,,
1155,0,0,0,,,
1162,0,0,0,,,
1169,0,0,0,,,
1176,0,0,0,,,
1183,0,,,,,
1190,0,,,,,
1197,0,,,,,
1204,0,,,,,
1211,0,,,,,
1218,0,,,,,
1225,0,,,,,
1232,0,,,,,
1239,0,,,,,
1246,0,,,,,
1253,0,,,,,
1260,0,,,,,
1267,0,,,,,
1274,0,,,,,
1281,0,,,,,
1288,0,,,,,
1295,0,,,,,
1302,0,,,,,
1309,0,,,,,
1316,0,,,,,
1323,0,,,,,
1330,0,,,,,
1337,0,,,,,
1344,0,,,,,
1351,0,,,,,
1358,0,,,,,
1365,0,,,,,
1372,0,,,,,
1379,0,,,,,
1386,0,,,,,
1393,0,,,,,
