names,Immunity_other,Immunityboost_001-061,Immunityboost_062-122,Immunityboost_123-183,Immunityboost_184-244,Immunityboost_245-305,Immunityboost_306-366,Immunityboost_367-427,Immunityboost_428-488,Immunityfull_062-122,Immunityfull_123-183,Immunityfull_184-244,Immunityfull_245-305,Immunityfull_306-366,Immunityfull_367-427,Immunityfull_428-488,Immunityfull_489-549,Immunityhybridboost_001-061,Immunityhybridboost_062-122,Immunityhybridboost_123-183,Immunityhybridboost_184-244,Immunityhybridboost_245-305,Immunityhybridboost_306-366,Immunityhybridboost_367-427,Immunityhybridboost_428-488,Immunityhybridfull_062-122,Immunityhybridfull_123-183,Immunityhybridfull_184-244,Immunityhybridfull_245-305,Immunityhybridfull_306-366,Immunityhybridfull_367-427,Immunityhybridfull_428-488,Immunityhybridfull_489-549,Immunityinf_062-122,Immunityinf_123-183,Immunityinf_184-244,Immunityinf_245-305,Immunityinf_306-366,Immunityinf_367-427,Immunityinf_428-488,Immunityinf_489-549,Immunitysecboost_001-061,Immunitysecboost_062-122,Immunitysecboost_123-183,Immunitysecboost45_001-061,Immunitysecboost45_062-122,AgeGr0-11,AgeGr12-15,AgeGr16-17,AgeGr18-24,AgeGr25-29,AgeGr30-34,AgeGr35-39,AgeGr45-49,AgeGr50-54,AgeGr55-59,AgeGr60-64,AgeGr65-69,AgeGr70-74,AgeGr75-79,AgeGr80+,SexM
Immunity_other,0.003643809353949193,3.497177800086967e-4,3.6800096841742405e-4,3.2610734408694813e-4,3.041272632486982e-4,3.2505351107337785e-4,3.774972560137867e-4,4.5823168202693295e-4,5.105418053488914e-4,3.532564364648727e-4,2.999349312453688e-4,3.1250915345135496e-4,3.495846289562968e-4,3.767733609644581e-4,3.5048843208226546e-4,3.6232509214239987e-4,3.9829606735780675e-4,3.772271841033484e-4,4.04571360198872e-4,3.5177567462632076e-4,3.3302487609596727e-4,3.5549443268820594e-4,4.078084561803383e-4,4.6687514239564807e-4,5.126210160341072e-4,3.9340433749957026e-4,3.418291271030592e-4,3.4539585522362745e-4,3.643530205410752e-4,3.97014763452489e-4,4.0253459148196857e-4,3.9439822060450674e-4,4.230756100851061e-4,3.884430337368311e-4,3.2875097762504146e-4,3.2527471332027857e-4,3.4818095397852336e-4,3.896661920095777e-4,4.384836587759994e-4,3.704201247845282e-4,3.081854839539774e-4,3.516072198756471e-4,4.200934895286847e-4,4.740387486848048e-4,4.2393915303370693e-4,4.86425207654086e-4,1.6286298031837498e-4,2.0874200037233428e-5,1.8554846341273823e-5,-3.721580717782046e-5,-5.49755551813443e-5,-2.6070937225904862e-5,-1.083089874640949e-5,6.179419321298194e-6,1.0445629079203166e-5,2.6030470994973135e-5,5.031399024057157e-5,8.169904738271862e-5,7.081295166735114e-5,5.540929411346898e-5,6.364820227080222e-5,1.4766116062026298e-5
Immunityboost_001-061,3.497177800086967e-4,0.07184618190775792,3.9690125287380606e-4,4.12698061053984e-4,4.143007827793642e-4,4.232177570107613e-4,3.9864872583152827e-4,2.977929287705034e-4,2.595513379274888e-4,3.688443893220262e-4,3.5904813826556154e-4,3.965298234950039e-4,4.2192503394934493e-4,3.963750205069771e-4,4.1574036944334836e-4,4.1753753889491193e-4,3.706853306635764e-4,0.00038842629594882505,3.5846963252322557e-4,3.898363823499187e-4,4.20577247889595e-4,4.1263308666804354e-4,3.6968130233005114e-4,2.9311214367671787e-4,2.6181857412741524e-4,3.7656135715893424e-4,4.0166267776808434e-4,4.274192064130107e-4,4.1764967620676536e-4,3.929593538679593e-4,3.7850319025749046e-4,3.9817472901338986e-4,3.569365718752083e-4,3.5910342589391973e-4,3.723916821654075e-4,3.680778002817042e-4,3.390227909653616e-4,3.0415166403903866e-4,2.4054652785403713e-4,3.089082865673553e-4,3.7183040220071514e-4,4.1257604149426083e-4,3.4310732293019224e-4,2.794828064248918e-4,3.373463848705946e-4,2.723955411139172e-4,3.493587838411214e-4,-3.130483139511391e-7,-6.135287776653889e-5,-1.2196122878223317e-4,-5.4798498905100405e-5,-3.614622407021741e-5,-1.075626565961906e-5,-2.748647746306214e-6,6.281711190395013e-6,2.1996172444014147e-5,1.8393381027114897e-5,1.6706345710984568e-5,1.7017988396250936e-5,5.918555728678389e-6,3.596139713258266e-5,6.199977655107792e-7
Immunityboost_062-122,3.6800096841742405e-4,3.9690125287380606e-4,0.09132656842787916,4.4771109151341945e-4,4.3719775034656224e-4,3.9600472662799143e-4,3.7490282354613605e-4,3.790609148908492e-4,3.5552363177294305e-4,3.944713115186966e-4,3.903199742189868e-4,4.1132300009654593e-4,4.0806752004262276e-4,4.338190728644765e-4,4.35018938940714e-4,4.029905103247409e-4,3.9229978967158e-4,3.8114428260040134e-4,3.8722830839533844e-4,4.119176433500274e-4,4.132461729690385e-4,3.9679691435990294e-4,3.882540744164355e-4,3.834923362234073e-4,3.626862284604046e-4,4.063413561384804e-4,4.408891267417823e-4,4.4039709926752387e-4,4.264071595894502e-4,4.184395274991168e-4,4.2329578936474226e-4,4.146696330475349e-4,4.074681837800296e-4,3.8583355463689775e-4,4.052425294914541e-4,3.6979710985296727e-4,3.515687062486577e-4,3.3775791874099994e-4,3.416989621009175e-4,3.8017388188881716e-4,3.8422718497410765e-4,3.742431991376692e-4,3.7502246592062817e-4,3.72367767160711e-4,3.808428735488035e-4,3.7081287045899003e-4,4.32528518506255e-4,-7.052894174665092e-5,-1.7400577275571266e-4,-1.863859976657919e-4,-9.081830810763229e-5,-5.2341600185916726e-5,-1.834090384056924e-5,7.713217821245514e-6,3.701299472544634e-5,7.179955933148917e-5,8.431136961340095e-5,9.071997639285251e-5,9.605554814659195e-5,9.208505332232106e-5,1.3761091054494663e-4,-1.5991907070663224e-6
Immunityboost_123-183,3.2610734408694813e-4,4.12698061053984e-4,4.4771109151341945e-4,0.018881323463278428,6.599608820001713e-4,4.4692565030219743e-4,3.0707359972582016e-4,2.4380830288370955e-4,2.2545132579194124e-4,4.593159477537154e-4,6.147704677224767e-4,5.589848016479946e-4,4.313341657413803e-4,4.714963573937428e-4,5.140212510310584e-4,4.019903001387073e-4,3.3234239601159023e-4,3.2481030642252687e-4,3.2845042142068116e-4,4.888794433842563e-4,4.947058101619288e-4,3.986766750857902e-4,3.0660335543206607e-4,2.55012197111646e-4,2.388315398451967e-4,3.986618122293629e-4,5.931421647827762e-4,5.33273720608427e-4,4.53230657578807e-4,3.931110565741208e-4,4.0615214952694926e-4,3.863532492418934e-4,3.4193022624985745e-4,3.720186669975037e-4,5.520872860732499e-4,4.3897988749284797e-4,3.5951729801838466e-4,0.00027481418579388263,2.3370944883793724e-4,4.857816643511194e-4,5.195999391003369e-4,3.421492774230691e-4,2.583401632911176e-4,2.3326965629688625e-4,2.570924608735065e-4,2.3744748486116059e-4,4.84597558797012e-4,2.5228037745215454e-5,-1.5641452147386827e-4,-1.171020886775373e-4,-2.469679803047459e-5,9.230252570165329e-7,9.639478123530336e-6,-4.531682915814144e-6,1.2660958176265554e-5,5.637879940572735e-5,9.300438647658423e-5,1.088121012339684e-4,1.3315910437443137e-4,1.46398566707422e-4,2.1863278439723325e-4,5.393875709703159e-6
Immunityboost_184-244,3.041272632486982e-4,4.143007827793642e-4,4.3719775034656224e-4,6.599608820001713e-4,0.0021971401681945423,4.8571527110475085e-4,2.939333587073471e-4,2.1044768674647414e-4,1.802506907589359e-4,4.448196205673099e-4,6.123489842444428e-4,5.84785574876999e-4,4.2295739902350316e-4,4.412570605343274e-4,5.189757185773293e-4,3.9459507791428155e-4,3.157931223835109e-4,3.197817252191984e-4,3.0758980774122085e-4,5.051472303291591e-4,5.183881221757851e-4,4.065694254991603e-4,2.7900024672946634e-4,2.1751115106470625e-4,1.8985189812746308e-4,3.6238056557128174e-4,5.895026487687894e-4,5.236047392290758e-4,4.387082469954513e-4,3.560447438568787e-4,3.776739773464194e-4,3.530285942815092e-4,3.046599975801078e-4,3.377415486626141e-4,5.570677561028699e-4,4.339233166993251e-4,3.3490775782247145e-4,2.1765301024214982e-4,1.6370967865302142e-4,4.5018861497214983e-4,5.448101928980664e-4,3.523759588145681e-4,2.321576930003114e-4,1.9791276524334228e-4,2.3038895247680922e-4,2.00448220645251e-4,3.8254413816012745e-4,1.3456493879173757e-4,4.725957657415843e-5,6.125217384640697e-6,5.399230592851197e-5,4.877833566220702e-5,3.414322415030942e-5,-2.6545624814661985e-5,-3.403720103935678e-5,-2.310882774580755e-5,-1.4831923359487812e-5,-2.7550788512289807e-5,-2.488950032999802e-6,2.269902670167624e-5,1.0979060666217916e-4,-1.7322151715977838e-6
Immunityboost_245-305,3.2505351107337785e-4,4.232177570107613e-4,3.9600472662799143e-4,4.4692565030219743e-4,4.8571527110475085e-4,9.076568457881967e-4,3.7017317330357473e-4,2.533919222183915e-4,2.2470173477794392e-4,3.7259035674139126e-4,4.0241821106341456e-4,4.4542493594645205e-4,4.2619901219869305e-4,3.7826544642068587e-4,4.391898096743027e-4,4.141103178054295e-4,3.4663742160840125e-4,3.7234392368543827e-4,3.313482049391154e-4,4.231446471242449e-4,4.5815801153845537e-4,4.233995259455796e-4,3.2944896006652913e-4,2.501059487884587e-4,2.2516152804090203e-4,3.4717971383237367e-4,4.308621338284644e-4,4.441473320364728e-4,4.135277696340548e-4,3.593572837390579e-4,3.5866507666233716e-4,3.6830368323834947e-4,3.171422574334742e-4,3.285093827957123e-4,4.064246957680947e-4,3.835702790012812e-4,3.201285794871373e-4,2.468675799897445e-4,1.7056174915893604e-4,3.1035422785239666e-4,4.199266683217695e-4,4.1603753084964074e-4,2.9522652722682984e-4,2.4148949230478383e-4,2.851895435976754e-4,2.3918547404257374e-4,2.9448262600092443e-4,9.790056802830405e-5,4.350407548180193e-5,7.508266660593019e-6,4.0764006402407824e-5,3.684681584849452e-5,2.56985951771532e-5,-2.4228358288202623e-5,-3.2135544231698915e-5,-3.3080681367307264e-5,-4.90911423661927e-5,-7.059044877295792e-5,-7.919942780595441e-5,-8.221265018932574e-5,-1.6314105319278858e-5,-7.863211646820098e-6
Immunityboost_306-366,3.774972560137867e-4,3.9864872583152827e-4,3.7490282354613605e-4,3.0707359972582016e-4,2.939333587073471e-4,3.7017317330357473e-4,0.0010512642565248592,4.2276169238333254e-4,3.677676340551079e-4,3.2445906779520937e-4,2.3650832750723161e-4,2.811345529921758e-4,3.73119868280939e-4,3.678499537103105e-4,3.360189222723996e-4,4.087188544257538e-4,4.20755842739393e-4,4.403836457895571e-4,4.2713137830892886e-4,3.467750753562838e-4,3.575447226981308e-4,4.0287889040648017e-4,4.475719640649688e-4,0.00040812553967705236,3.625946921642986e-4,3.929976203462426e-4,2.943447303317256e-4,3.231948615893703e-4,3.7172274780378336e-4,4.0401191163201e-4,3.7695794783285536e-4,4.065821456214382e-4,4.0540008783846853e-4,3.858900231678039e-4,2.7218647997531416e-4,2.7879487158072053e-4,3.0456736143331405e-4,3.320822399197561e-4,3.1128922571092567e-4,2.506325440483229e-4,2.5784592630536855e-4,4.352177992961694e-4,4.6140029633690287e-4,4.019687258353319e-4,4.6675058417400733e-4,3.867460399584541e-4,2.532957775464346e-4,8.645132869435598e-5,4.368363690076681e-5,1.0861858690947506e-5,3.591346656004455e-5,3.301849034358789e-5,2.2741545314947374e-5,-2.0729389347540188e-5,-2.817702664096757e-5,-3.075784205290352e-5,-4.830492814969393e-5,-6.461171980393324e-5,-9.964135049044693e-5,-1.3064922536560431e-4,-8.724598654748817e-5,-1.0411856336647538e-5
Immunityboost_367-427,4.5823168202693295e-4,2.977929287705034e-4,3.790609148908492e-4,2.4380830288370955e-4,2.1044768674647414e-4,2.533919222183915e-4,4.2276169238333254e-4,0.002575999674196022,0.0010231212921245876,3.301031652743113e-4,1.6188214061442407e-4,1.821445841366777e-4,2.450697089197573e-4,3.692363450864123e-4,2.805627475242976e-4,3.1872929128031916e-4,5.230445515520645e-4,4.5153417273359725e-4,5.826146741592823e-4,3.811727740496151e-4,2.525490020064843e-4,3.2631352908555093e-4,5.451445020316068e-4,8.89146990608134e-4,0.0010105680810953833,4.5286020767640426e-4,2.571222352080976e-4,1.989411789086455e-4,2.8540401086138444e-4,4.272907800916735e-4,4.820835700374695e-4,4.076456594488738e-4,5.83478687388332e-4,4.547134006190814e-4,2.4049765407906372e-4,1.5433353202693533e-4,2.3582323786149682e-4,4.0016986788900266e-4,6.7475007970996e-4,4.0662036843108236e-4,1.545218022016521e-4,3.4383492214752127e-4,6.64610184970489e-4,9.542237644743377e-4,6.875681893018171e-4,9.953176888886632e-4,2.019224952065634e-4,6.474789408783133e-5,3.4297088242932466e-5,9.012652089986154e-6,2.4566179280410113e-5,2.48920604419967e-5,1.709338640850862e-5,-1.8219970375147907e-5,-2.6440984893171817e-5,-3.7575018944548965e-5,-7.25069231581144e-5,-9.291250269137538e-5,-1.4763944294326673e-4,-1.8780267722993786e-4,-1.528804734722839e-4,-8.023097661042508e-6
Immunityboost_428-488,5.105418053488914e-4,2.595513379274888e-4,3.5552363177294305e-4,2.2545132579194124e-4,1.802506907589359e-4,2.2470173477794392e-4,3.677676340551079e-4,0.0010231212921245876,0.03703907875851577,3.25921763932744e-4,1.4329364914302645e-4,1.5600022799501395e-4,2.0369336884712964e-4,3.193094618664938e-4,2.782891686278769e-4,2.730485715712194e-4,5.077469359626147e-4,4.010497573431847e-4,6.302303887430327e-4,4.2394174063099707e-4,2.210461528926985e-4,2.8878127659424675e-4,5.374631952715879e-4,0.001141357851144142,0.002525644295657717,4.4824757897472616e-4,2.518347136457638e-4,1.6448150234203395e-4,2.3814764185247283e-4,4.163378777428398e-4,5.124092765488633e-4,4.057048705914221e-4,6.287230385582966e-4,4.51277010283511e-4,2.410649748019413e-4,1.2210525484030466e-4,1.8859637159731544e-4,4.1700332116130593e-4,7.668326063942511e-4,6.962206892948107e-4,1.296994020533187e-4,3.0525520418590336e-4,6.667416055083906e-4,0.0013776916112921984,6.112088940672046e-4,0.0016507426322098866,1.924236371461343e-4,6.879864403763654e-5,4.1990526973959684e-5,1.6846480519982505e-5,2.456229870710583e-5,2.5830721661695654e-5,1.7289606127110143e-5,-1.4039839152084167e-5,-2.1065200543063864e-5,-2.515364399982244e-5,-3.745546123682662e-5,-4.063190966637496e-5,-1.1512459740818757e-4,-1.8434936849919548e-4,-1.928351888376776e-4,-1.7895178716456897e-5
Immunityfull_062-122,3.532564364648727e-4,3.688443893220262e-4,3.944713115186966e-4,4.593159477537154e-4,4.448196205673099e-4,3.7259035674139126e-4,3.2445906779520937e-4,3.301031652743113e-4,3.25921763932744e-4,1.000403036301848,4.447577932537451e-4,4.316722550259485e-4,3.8946897446289657e-4,4.1535718927457625e-4,4.221143581485825e-4,3.682343720692422e-4,3.5063623548113566e-4,3.3507509681387354e-4,3.43888315365826e-4,3.9560873058478184e-4,3.937196566176897e-4,3.611600298945515e-4,3.371599299835898e-4,3.368910603390571e-4,3.3361704142679225e-4,3.797676829434305e-4,4.4863403107618275e-4,4.3495668354288946e-4,4.024265142144374e-4,3.82948282897473e-4,3.9201464516662536e-4,3.7661339451005075e-4,3.665089385973337e-4,3.6727298598441025e-4,4.3096860437175007e-4,4.026191049475754e-4,3.8072987767890645e-4,3.5883754487642266e-4,3.6146023605910724e-4,4.218397439210251e-4,4.17822172042329e-4,3.3278566574741075e-4,3.200002603432259e-4,3.278900898974413e-4,3.2236543861933646e-4,3.3090603273717935e-4,2.0850981595380767e-4,-3.358733541714485e-4,-1.8480026801160918e-4,-1.6877805271804582e-4,-1.4137867325082597e-4,-1.3795217294468122e-4,-5.229425842948864e-5,2.437037766182968e-5,4.844853886124266e-5,7.666909058757812e-5,9.26964373768341e-5,1.0557171912539333e-4,1.1020118487487478e-4,1.1675322136087127e-4,1.4071441709712543e-4,1.714421393390318e-5
Immunityfull_123-183,2.999349312453688e-4,3.5904813826556154e-4,3.903199742189868e-4,6.147704677224767e-4,6.123489842444428e-4,4.0241821106341456e-4,2.3650832750723161e-4,1.6188214061442407e-4,1.4329364914302645e-4,4.447577932537451e-4,0.05619546840850938,5.592569751249477e-4,3.9003032157857126e-4,4.1604877251914845e-4,4.65140329574835e-4,3.371001333437484e-4,2.635692067024359e-4,2.5858266756733587e-4,2.536192425801347e-4,4.329852125684983e-4,4.415071433704095e-4,3.369861331395267e-4,2.266283144650075e-4,1.6880962109482695e-4,1.5353608932912013e-4,3.344175245599379e-4,5.515419395132783e-4,4.909953257542423e-4,3.9849149699047514e-4,3.218717468755777e-4,3.3614503370905366e-4,3.120655878127488e-4,2.6456078625376734e-4,3.2600369628985146e-4,5.492928091631168e-4,4.7898188462024935e-4,4.0915293486150963e-4,3.1482725625472306e-4,2.660207976322884e-4,5.011871308597378e-4,5.494577368595728e-4,2.8509760898842625e-4,1.8222637470752256e-4,1.505631870584219e-4,1.7829986965796482e-4,1.5179796097351735e-4,-2.426160007272514e-6,-3.8301428236205365e-4,-1.8275311554683655e-4,-1.8785967349980887e-4,-1.5645981113242426e-4,-1.0888255771010347e-4,-4.672289562748182e-5,1.587789876875479e-5,3.068283702354399e-5,5.083508873609231e-5,6.8109253309049e-5,8.79861021792925e-5,1.0566409100910835e-4,1.1896402161285278e-4,1.577538059055293e-4,1.3074833020668257e-5
Immunityfull_184-244,3.1250915345135496e-4,3.965298234950039e-4,4.1132300009654593e-4,5.589848016479946e-4,5.84785574876999e-4,4.4542493594645205e-4,2.811345529921758e-4,1.821445841366777e-4,1.5600022799501395e-4,4.316722550259485e-4,5.592569751249477e-4,0.013703194875584945,4.3125976983443977e-4,4.287983388963336e-4,4.913345807811346e-4,3.824565823424578e-4,2.9880982387400047e-4,2.999050980791852e-4,2.776365079163602e-4,0.00044336473483292754,4.6984050408191126e-4,3.836368950084354e-4,2.642275484661078e-4,1.8938686402513656e-4,1.6712460884766713e-4,3.502143269814474e-4,5.395611781739856e-4,5.181818767200603e-4,4.378178382204961e-4,3.574119515877322e-4,3.69590194535236e-4,3.550751541141972e-4,2.9669020423599824e-4,3.2986385827624506e-4,5.183079862126754e-4,4.702115894613609e-4,3.9324194515641706e-4,2.950844509394372e-4,2.302253267527807e-4,4.390639528727587e-4,5.262360653520896e-4,3.346419595586973e-4,2.1038066448722878e-4,1.6882927776952242e-4,2.0455642606432247e-4,1.6909418829921447e-4,2.4744077600660465e-4,-2.908558926378634e-4,-2.16450570207877e-4,-2.0065934680970097e-4,-1.3425847636736382e-4,-9.278158579719462e-5,-4.367112699972532e-5,1.3581395757069654e-5,2.753944614044203e-5,5.332881201114993e-5,7.140220000919034e-5,9.127434093423078e-5,1.1336948950042115e-4,1.2183446457442865e-4,1.7423103762882893e-4,4.825534677649067e-6
Immunityfull_245-305,3.495846289562968e-4,4.2192503394934493e-4,4.0806752004262276e-4,4.313341657413803e-4,4.2295739902350316e-4,4.2619901219869305e-4,3.73119868280939e-4,2.450697089197573e-4,2.0369336884712964e-4,3.8946897446289657e-4,3.9003032157857126e-4,4.3125976983443977e-4,0.007264254123476844,4.2792923170861336e-4,4.553451725868124e-4,4.329298864059401e-4,3.5411010657244936e-4,3.650013475612321e-4,3.2898593159426176e-4,3.8849203339714035e-4,4.3717440377721037e-4,4.1927524929517943e-4,3.5120550876367105e-4,2.5092577226631344e-4,2.1615040425782746e-4,3.862627763375169e-4,4.426263050202167e-4,4.904268616704463e-4,4.6015492997575114e-4,4.18696075584095e-4,4.043745653126796e-4,4.245828080057361e-4,3.5777085477730334e-4,3.6115161261984313e-4,4.0740995154797314e-4,4.3339775897636274e-4,3.961823750538277e-4,3.515215716608477e-4,2.6931601849036773e-4,3.4588096927668524e-4,4.168099881950913e-4,3.929089516466847e-4,2.9264758763426974e-4,2.248450602773407e-4,2.850942939673541e-4,2.2144177994223426e-4,4.1389360857761997e-4,-2.2177335049937034e-4,-2.1113839157409773e-4,-2.449723134477738e-4,-1.4829949590922518e-4,-9.707277387171447e-5,-4.9210012981476427e-5,1.7006665931331413e-5,3.9105460617670056e-5,7.424355978635976e-5,1.0324531667311223e-4,1.2899309136605726e-4,1.4924454115709137e-4,1.5288288339768475e-4,2.0909032908010124e-4,-4.216109311494828e-6
Immunityfull_306-366,3.767733609644581e-4,3.963750205069771e-4,4.338190728644765e-4,4.714963573937428e-4,4.412570605343274e-4,3.7826544642068587e-4,3.678499537103105e-4,3.692363450864123e-4,3.193094618664938e-4,4.1535718927457625e-4,4.1604877251914845e-4,4.287983388963336e-4,4.2792923170861336e-4,0.0077748370466597366,4.590714157563941e-4,4.120318610349956e-4,3.9466168119100257e-4,3.7375493225264174e-4,3.850725887581935e-4,4.0877415895053593e-4,4.1455368093438577e-4,3.95478611662977e-4,3.9545637516961887e-4,3.777783094651025e-4,3.344845059886837e-4,4.3002391337231346e-4,4.721275722350575e-4,4.778276055719978e-4,4.578170832869396e-4,4.513607681037233e-4,4.517446368710662e-4,4.429821108529238e-4,4.280573659272025e-4,4.0457265249607173e-4,4.289646221420344e-4,4.033031939415716e-4,3.953880477748687e-4,3.8724367059958677e-4,3.9222743722766074e-4,4.1622069916235943e-4,4.0366676636886367e-4,3.5456089218075003e-4,3.693450872394614e-4,3.5172044421233063e-4,3.817217288283165e-4,3.4639159305643283e-4,4.92625485346296e-4,-3.267870355779408e-4,-3.864271278774261e-4,-3.887105847597022e-4,-0.00021582320477575277,-1.2787623545171826e-4,-6.626601430543809e-5,2.9865473731962237e-5,5.812630970736846e-5,9.898614108803568e-5,1.345173528430588e-4,1.6704930352242554e-4,1.898112534721242e-4,1.9455422720785864e-4,2.555365942125219e-4,-4.4700821444943735e-6
