names,InfPriorinf_ALPHA_306-366,InfPriorinf_DELTA_062-122,InfPriorinf_DELTA_184-244,InfPriorinf_EARLY_367+,InfPriorinf_NA_184-244,InfPriorinf_NA_367+,VaccStatusboost_001-061,VaccStatusboost_062-122,VaccStatusboost_123-183,VaccStatusboost_184-244,VaccStatusboost_245-305,VaccStatusboost_306-366,VaccStatusboost_367+,VaccStatusfull_001-061,VaccStatusfull_062-122,VaccStatusfull_123-183,VaccStatusfull_184-244,VaccStatusfull_245-305,VaccStatusfull_306-366,VaccStatusfull_367+,VaccStatuspartial_062+,VaccStatussecboost_001-061,VaccStatussecboost_062-122,VaccStatussecboost_123-183,AgeGr0-11,AgeGr12-15,AgeGr18-24,AgeGr25-29,AgeGr30-34,AgeGr45-49,AgeGr50-54,AgeGr55-59,AgeGr60-64,AgeGr65-69,AgeGr70-74,AgeGr75-79,AgeGr80+,SexM
InfPriorinf_ALPHA_306-366,0.0015634023795181187,4.627163367212279e-5,1.4682936952964407e-5,3.317976524178255e-5,8.641769048023327e-6,3.3508112621334606e-5,2.1435604878766372e-5,3.8043940986782866e-5,2.460628623021999e-5,1.540658554255693e-5,1.3641748230440138e-5,1.202379382275973e-5,1.1156957671819008e-5,-2.1645989200468893e-5,-3.8446921107572016e-5,-3.0603407784099726e-5,2.534726449607247e-5,2.864095373649932e-5,2.029199405739316e-5,1.3461841892542014e-5,8.862091479614163e-6,1.0156785634852424e-5,9.46145972393774e-6,9.05758818886486e-6,2.579562670364206e-5,1.774299631614572e-5,9.052465540633975e-6,8.189718061578184e-6,6.090586554321552e-6,-6.326965215939384e-6,-7.739849111912755e-6,-2.7194015740792532e-6,3.818525552189094e-6,8.889260353800404e-6,1.0793929548520955e-5,1.1037640955688469e-5,1.550391910500901e-5,1.232664322943473e-6
InfPriorinf_DELTA_062-122,4.627163367212279e-5,0.0017339058764148485,2.2011214384505672e-5,3.338282497586849e-5,1.530415653453706e-5,3.426361501926481e-5,6.347570352741728e-5,5.470546164432737e-5,2.4327602646196366e-5,-1.65079551423e-6,-7.798581660205184e-6,-1.1244828569206826e-5,-1.3894285706806308e-5,6.814878442161833e-5,6.0252250648183495e-5,5.402380426708373e-5,1.851484037177424e-5,-2.5316927920892105e-5,-1.9863262318971333e-5,-6.054783558891266e-6,-7.617900384462386e-5,-1.3983307085321462e-5,-1.6033944407032253e-5,-1.7271176680236367e-5,2.943600413539237e-5,-3.733896165434015e-5,3.4901485901139612e-06,1.1487526024693151e-5,8.128759114312845e-6,-9.163249575899488e-7,8.603592590260627e-6,1.089510629235401e-5,1.696715328865778e-5,1.889725741852518e-5,2.1339118053886125e-5,2.2071676725997467e-5,2.8202836687173668e-5,3.284454109834499e-6
InfPriorinf_DELTA_184-244,1.4682936952964407e-5,2.2011214384505672e-5,0.010808735319798691,3.3280684626947995e-5,1.736431720978663e-4,4.089555275021748e-5,2.121717868946179e-5,3.180162593230789e-5,1.8052408944980146e-4,2.8005283292002455e-4,1.1218876301153689e-4,5.159918802186373e-5,2.7423396848029124e-5,1.3281867919366166e-5,2.7928473620577447e-5,3.0376130430829235e-5,3.7004278583117e-5,5.9396879587840164e-5,8.362267876831594e-6,-5.259683104296882e-5,-5.658461140094822e-5,7.210770598722874e-5,3.531457934917234e-5,1.9402822587810416e-5,3.010603265703088e-5,-1.6291323048537713e-5,1.1868091229903794e-6,8.295218628644544e-6,5.4026061034894524e-6,-3.6993377265542896e-6,3.792920044278368e-6,7.989448824239887e-6,1.536630429703675e-5,1.7429401966257086e-5,1.7875776964191157e-5,1.582571316671414e-5,2.096696945674866e-5,4.918058951970446e-6
InfPriorinf_EARLY_367+,3.317976524178255e-5,3.338282497586849e-5,3.3280684626947995e-5,4.7051597549677246e-4,3.8218871530598834e-5,3.660159491016286e-5,-1.0178832185381438e-5,-1.5554225204951703e-5,-1.6552239142700126e-5,-1.6633269738006228e-5,-2.0107047300949767e-5,-2.3001842499137016e-5,-2.5844741133550562e-5,-2.1005631093433268e-6,-2.4403633754404165e-7,-2.48478454861694e-6,-1.071431980642822e-5,-1.8427104840900862e-5,-1.8385477789057095e-5,-1.881462623108495e-5,1.3032820786620726e-6,-2.0667805963166053e-5,-2.1305969131849946e-5,-2.0205824735503717e-5,1.9294914972873944e-5,7.189740806337063e-6,-6.796951926618265e-7,-1.4958645742633393e-6,3.8595248449083175e-6,-6.104953539205988e-7,2.1026961137426107e-6,4.446670071396894e-6,1.459644901932754e-5,2.476776698820386e-5,2.8150045585857144e-5,3.0371555636919665e-5,2.984231517252554e-5,3.209362475235843e-6
InfPriorinf_NA_184-244,8.641769048023327e-6,1.530415653453706e-5,1.736431720978663e-4,3.8218871530598834e-5,0.007717956355546649,4.2390096868928215e-5,1.3774678074292009e-6,-5.155075443898806e-6,4.090939394420686e-5,1.7631424695848692e-4,1.2308927693694717e-4,3.3129008622009107e-5,-2.237630022116903e-6,3.6843978840156034e-6,1.0550128904591808e-5,1.4076152827664754e-5,1.1912402480113713e-5,1.179058419413068e-5,-7.437700586464367e-5,-1.1769105376208507e-4,-5.9108422406767795e-6,1.0228724295459814e-4,8.254389634652987e-6,-1.1844239379370122e-5,2.037017175165312e-5,-2.3945530595377763e-5,-7.791755364208034e-6,6.685038477872656e-6,2.9902854242289226e-6,-1.4030302239237487e-7,1.2610924753364006e-5,1.8694731569987753e-5,2.6263857771800447e-5,3.3172649034906216e-5,3.4944262679312204e-5,3.703558975390887e-5,3.9424147295132106e-5,2.48855701383491e-6
InfPriorinf_NA_367+,3.3508112621334606e-5,3.426361501926481e-5,4.089555275021748e-5,3.660159491016286e-5,4.2390096868928215e-5,0.0012945725525995786,-4.902910069001672e-6,8.589499580148972e-7,4.727975631675461e-6,-1.2084177037685713e-6,3.570186524872947e-6,1.0868416276944344e-5,1.944810358035844e-5,-3.824014881790833e-6,-4.145671505643067e-6,-4.9390206008375104e-6,-9.234401675532464e-6,-1.128393584982012e-5,-3.7784037014597956e-6,-5.940826509375896e-6,1.073616685035524e-6,6.451232431329802e-6,1.1786697924156317e-5,1.8380825944664415e-5,1.273850671387858e-5,5.978386363477149e-6,2.465295141745784e-6,1.9092491679275523e-6,-1.624699744792015e-6,-6.983600225495033e-6,-5.0362322729194826e-6,-3.1839154677990773e-6,3.944677517547323e-6,1.4541711526231745e-5,1.713151667869714e-5,1.6809205884365642e-5,1.7564871641978897e-5,3.7931497639961535e-6
VaccStatusboost_001-061,2.1435604878766372e-5,6.347570352741728e-5,2.121717868946179e-5,-1.0178832185381438e-5,1.3774678074292009e-6,-4.902910069001672e-6,4.273017488692434e-4,1.2586003629611812e-4,9.535201649339295e-5,7.505633881162545e-5,7.603033771391719e-5,7.574029317950941e-5,7.794491664287666e-5,1.0804432917403427e-4,1.0507737665114044e-4,1.0892244433770141e-4,1.1775796065906235e-4,9.864208098324682e-5,7.329200198758347e-5,6.438478011319893e-5,9.551402193829822e-5,8.045726604482548e-5,8.046448924997779e-5,8.100961109237205e-5,1.0628782255178491e-4,5.263063287028927e-5,1.0220515735339706e-5,2.6843699165347373e-5,1.8492359871482313e-5,-2.0517142783028456e-5,-1.9598373328390162e-5,-2.3596409246560697e-5,-2.0926277703319124e-5,-3.315223997194141e-5,-2.9859400135895954e-5,-2.6891740882507627e-5,-2.9691171755002537e-6,-1.7484098734139505e-6
VaccStatusboost_062-122,3.8043940986782866e-5,5.470546164432737e-5,3.180162593230789e-5,-1.5554225204951703e-5,-5.155075443898806e-6,8.589499580148972e-7,1.2586003629611812e-4,4.773551797467979e-4,1.7112000352977817e-4,1.0628351210762043e-4,1.1525686861347497e-4,1.2513492664777015e-4,1.3650055644706937e-4,8.525664453260544e-5,1.0561801911162228e-4,8.316647736600292e-5,1.1652263517636408e-4,1.3937517825284558e-4,9.510791899126637e-5,8.846823852965186e-5,1.0394601786636786e-4,1.4194377394269642e-4,1.475634190027782e-4,1.5367303227601837e-4,9.983746204037386e-5,5.216260898917852e-5,1.5606540511128435e-5,2.7264300120059713e-5,2.0111241461132712e-5,-2.295595145630369e-5,-2.5397614960498734e-5,-3.433907015174865e-5,-4.5450247270734975e-5,-6.567325196680568e-5,-9.216363631295121e-5,-1.1428183024517315e-4,-9.600858644793528e-5,2.5442116827696234e-6
VaccStatusboost_123-183,2.460628623021999e-5,2.4327602646196366e-5,1.8052408944980146e-4,-1.6552239142700126e-5,4.090939394420686e-5,4.727975631675461e-6,9.535201649339295e-5,1.7112000352977817e-4,0.001234801981007136,2.694573604819734e-4,2.2217877753669476e-4,2.1588840876755864e-4,2.2066471802247305e-4,5.837354366064742e-5,8.926651588873529e-5,6.416733532654463e-5,1.0255303693103139e-4,1.8842038182207175e-4,2.1693899020926912e-4,1.9729813286991534e-4,1.2051144905255871e-4,2.387785289953002e-4,2.344640118560668e-4,2.3693483180312524e-4,1.0536367040901709e-4,5.5307527529956164e-5,1.3680783441106639e-5,2.6408144424675082e-5,1.9857596977019515e-5,-2.057567416367577e-5,-2.2360250771054424e-5,-2.705731592681896e-5,-3.141321918605361e-5,-4.2497972342822086e-5,-8.141788885011592e-5,-1.2035993490161072e-4,-1.1952215197900334e-4,5.532746768029469e-6
VaccStatusboost_184-244,1.540658554255693e-5,-1.65079551423e-6,2.8005283292002455e-4,-1.6633269738006228e-5,1.7631424695848692e-4,-1.2084177037685713e-6,7.505633881162545e-5,1.0628351210762043e-4,2.694573604819734e-4,0.0013159478955805481,5.146210768425192e-4,4.372243723314947e-4,4.0643303397072775e-4,3.781581547112041e-5,5.1655935231294635e-5,4.596429114772137e-5,8.570846498394585e-5,1.795638180285323e-4,3.8121244654653035e-4,4.708932487954404e-4,1.329215326958571e-4,4.930385120682694e-4,4.275411103309563e-4,4.121805057876815e-4,1.1417098392849112e-4,7.021590467383647e-5,1.9577473040262362e-5,3.2980574284905234e-5,2.2664005238987753e-5,-2.417800272229075e-5,-2.5410397516130363e-5,-3.1227857215885105e-5,-3.18960850658524e-5,-4.609964778960268e-5,-5.569762791557218e-5,-6.473385148990553e-5,-4.6719335753443776e-5,2.7018161554770807e-6
VaccStatusboost_245-305,1.3641748230440138e-5,-7.798581660205184e-6,1.1218876301153689e-4,-2.0107047300949767e-5,1.2308927693694717e-4,3.570186524872947e-6,7.603033771391719e-5,1.1525686861347497e-4,2.2217877753669476e-4,5.146210768425192e-4,0.0013339802880070705,7.404027541137944e-4,6.570294973144434e-4,2.9180882486548137e-5,4.166205827900474e-5,3.3614463126678785e-5,7.64268461579129e-5,1.9183947364179835e-4,3.400723409840403e-4,6.178047753612236e-4,1.3405629945264355e-4,7.662370588060653e-4,7.357411952368021e-4,6.581370324207086e-4,1.1084049877680399e-4,7.655797563564861e-5,2.841736898795721e-5,3.632962561902273e-5,2.5541697219294185e-5,-2.752562450347284e-5,-3.138646676710275e-5,-4.147777975832604e-5,-5.02739103479354e-5,-6.916513254269369e-5,-9.276188472728915e-5,-1.1306161680406492e-4,-9.705723142837344e-5,4.6164039199678875e-6
VaccStatusboost_306-366,1.202379382275973e-5,-1.1244828569206826e-5,5.159918802186373e-5,-2.3001842499137016e-5,3.3129008622009107e-5,1.0868416276944344e-5,7.574029317950941e-5,1.2513492664777015e-4,2.1588840876755864e-4,4.372243723314947e-4,7.404027541137944e-4,0.0027956177229805416,0.0015778012323727658,2.3654326930293656e-5,3.57490827460277e-5,2.6329329303550474e-5,6.934900012584292e-5,1.8556264194164923e-4,3.389532543987158e-4,7.094494774135607e-4,1.3531894133712695e-4,9.837747826918666e-4,0.0014051929990616901,0.001635540888092944,1.087021072801988e-4,7.931383913844083e-5,3.256172777412581e-5,3.691893405633241e-5,2.7316670591686534e-5,-2.7330272798534702e-5,-3.243723920439044e-5,-4.314957361229836e-5,-5.5661267712699036e-5,-7.280732213257758e-5,-1.2204602345090793e-4,-1.6394427704507952e-4,-1.5635137645361472e-4,8.693495879421785e-6
VaccStatusboost_367+,1.1156957671819008e-5,-1.3894285706806308e-5,2.7423396848029124e-5,-2.5844741133550562e-5,-2.237630022116903e-6,1.944810358035844e-5,7.794491664287666e-5,1.3650055644706937e-4,2.2066471802247305e-4,4.0643303397072775e-4,6.570294973144434e-4,0.0015778012323727658,0.012366787686463394,1.8305614275510464e-5,3.0304104240416842e-5,1.9606466579686072e-5,6.506879476383665e-5,1.736232262811052e-4,3.399661453023888e-4,7.805089205536266e-4,1.35470856974214e-4,0.0010682215717942184,0.0022311246508129345,0.0037999383579401078,1.0391975385889482e-4,7.998314493738724e-5,3.7214052336473405e-5,3.6462331752748846e-5,2.8478064032233313e-5,-2.9939908334269226e-5,-3.6885677661252434e-5,-5.1488441240817354e-5,-7.52648966743236e-5,-9.402721735401216e-5,-1.597024188324389e-4,-2.0672617352250435e-4,-1.9696333217161506e-4,1.3446667805530216e-5
VaccStatusfull_001-061,-2.1645989200468893e-5,6.814878442161833e-5,1.3281867919366166e-5,-2.1005631093433268e-6,3.6843978840156034e-6,-3.824014881790833e-6,1.0804432917403427e-4,8.525664453260544e-5,5.837354366064742e-5,3.781581547112041e-5,2.9180882486548137e-5,2.3654326930293656e-5,1.8305614275510464e-5,0.001406558993143887,1.131038203134941e-4,1.2506226927616056e-4,1.0357686746135313e-4,7.56894002787535e-5,6.289619916004818e-5,4.066115769761789e-5,9.281840806160414e-5,2.153177449835936e-5,1.76400410527033e-5,1.4733497767662938e-5,7.742095938415368e-5,-4.083313616177575e-5,-3.835188682388075e-5,-1.494179407083389e-5,-1.6892368000709004e-5,-7.328509288661231e-6,-9.431819234593435e-7,3.3424176935932823e-6,9.09597312251893e-6,7.000436553463031e-6,7.570108767936245e-6,7.308917644495173e-6,1.7335432075839723e-5,-3.9016313229269005e-6
VaccStatusfull_062-122,-3.8446921107572016e-5,6.0252250648183495e-5,2.7928473620577447e-5,-2.4403633754404165e-7,1.0550128904591808e-5,-4.145671505643067e-6,1.0507737665114044e-4,1.0561801911162228e-4,8.926651588873529e-5,5.1655935231294635e-5,4.166205827900474e-5,3.57490827460277e-5,3.0304104240416842e-5,1.131038203134941e-4,0.0011615708325515485,1.1652142113835443e-4,1.0907260796845787e-4,9.782535089295619e-5,7.494931233466557e-5,5.270947790165703e-5,1.0211784790265426e-4,3.403473556127199e-5,2.9841580620340792e-5,2.688847500426593e-5,9.333331737981417e-5,-2.4332711465289755e-5,-3.8035501286663645e-5,-1.2349018843198852e-5,-1.2808455570242761e-5,-8.570727159221411e-6,-2.35658776687445e-7,3.6589402027377815e-6,9.77405201170987e-6,8.086407702944271e-6,8.296527161376176e-6,5.394283926068101e-6,1.706911210391926e-5,-4.543627278346597e-6
VaccStatusfull_123-183,-3.0603407784099726e-5,5.402380426708373e-5,3.0376130430829235e-5,-2.48478454861694e-6,1.4076152827664754e-5,-4.9390206008375104e-6,1.0892244433770141e-4,8.316647736600292e-5,6.416733532654463e-5,4.596429114772137e-5,3.3614463126678785e-5,2.6329329303550474e-5,1.9606466579686072e-5,1.2506226927616056e-4,1.1652142113835443e-4,4.8361061930177765e-4,1.0628790392458692e-4,8.023211683014923e-5,7.099813924919921e-5,4.738403817086696e-5,9.868358368132763e-5,2.346673868588424e-5,1.8380796834107808e-5,1.4772705551420882e-5,9.208258702918048e-5,-2.4591068777950422e-5,-5.780248481370693e-5,-1.73356963493086e-5,-1.3881305246872996e-5,-4.172530495929056e-6,3.96749631378448e-6,7.62512993717174e-6,1.4042013807187592e-5,1.271530439126037e-5,1.3766887373507204e-5,1.3525019314190284e-5,2.507164368595753e-5,-3.087049968621244e-6
VaccStatusfull_184-244,2.534726449607247e-5,1.851484037177424e-5,3.7004278583117e-5,-1.071431980642822e-5,1.1912402480113713e-5,-9.234401675532464e-6,1.1775796065906235e-4,1.1652263517636408e-4,1.0255303693103139e-4,8.570846498394585e-5,7.64268461579129e-5,6.934900012584292e-5,6.506879476383665e-5,1.0357686746135313e-4,1.0907260796845787e-4,1.0628790392458692e-4,3.9834934975114817e-4,1.070798105064417e-4,8.869412171456055e-5,7.653958604123359e-5,1.0354789902323666e-4,6.92508516656002e-5,6.41886934624921e-5,6.139884964150964e-5,1.114692352233596e-4,4.790455436096551e-5,-4.3448648141657013e-7,2.1536332073861226e-5,1.2834786318072357e-5,-1.4133784069725999e-5,-8.757182880238137e-6,-2.0078129305688235e-6,8.297065699719357e-6,7.296859011185178e-6,8.889015966025598e-6,6.839574853942435e-6,2.1242628479611734e-5,-1.3247525996043276e-6
VaccStatusfull_245-305,2.864095373649932e-5,-2.5316927920892105e-5,5.9396879587840164e-5,-1.8427104840900862e-5,1.179058419413068e-5,-1.128393584982012e-5,9.864208098324682e-5,1.3937517825284558e-4,1.8842038182207175e-4,1.795638180285323e-4,1.9183947364179835e-4,1.8556264194164923e-4,1.736232262811052e-4,7.56894002787535e-5,9.782535089295619e-5,8.023211683014923e-5,1.070798105064417e-4,0.0011910156938573203,1.5129394130070182e-4,1.7438807632034865e-4,1.1627006782766893e-4,1.9491431336053972e-4,1.84218362930166e-4,1.747568569260344e-4,1.0604515477451369e-4,4.554013265040912e-5,4.714818027369626e-6,1.815847413671273e-5,1.2177362761771618e-5,-1.9904868375138738e-5,-1.845091038646929e-5,-1.9696261924580138e-5,-1.0914867797103199e-5,-1.3909865372999444e-5,-2.7718872013148574e-5,-4.287021855165913e-5,-2.3729302326307803e-5,4.483947819866377e-6
